"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.605821350E-1,2.288900167E-1,5.857007578E-2,9.894286156E0,9.897106629E0
7.656192180E-1,2.408675253E-1,8.492057770E-2,9.908658981E0,9.911949933E0
7.706563020E-1,2.408675253E-1,4.898803309E-2,9.899076462E0,9.902127639E0
7.756934370E-1,2.193080187E-1,2.742855810E-2,9.891890526E0,9.894359328E0
7.807305200E-1,1.881665289E-1,7.294308394E-2,9.891890526E0,9.893948934E0
7.857676040E-1,1.953530163E-1,8.012955636E-2,9.903867722E0,9.906118281E0
7.907798950E-1,1.953530163E-1,6.336104125E-2,9.899076462E0,9.901206604E0
7.958169790E-1,1.977485269E-1,9.210705012E-2,9.913449287E0,9.915849180E0
8.008541140E-1,1.785845160E-1,6.096558645E-2,9.903867722E0,9.905665302E0
8.058911980E-1,1.737935245E-1,3.701053932E-2,9.899076462E0,9.900671127E0
8.109282810E-1,2.169125229E-1,6.575655192E-2,9.870330811E0,9.872932962E0
8.159653640E-1,2.145170271E-1,1.016890332E-1,9.901472092E0,9.904317634E0
8.210205730E-1,1.785845160E-1,7.773404568E-2,9.918240547E0,9.920152749E0
8.260576560E-1,1.833755225E-1,1.136665866E-1,9.891890526E0,9.894243016E0
8.310947390E-1,2.217035294E-1,8.492057770E-2,9.899076462E0,9.901922983E0
8.361318750E-1,2.145170271E-1,1.112710759E-1,9.896680832E0,9.899630816E0
8.411689060E-1,2.097260207E-1,1.040845439E-1,9.920636177E0,9.923398649E0
8.462060410E-1,1.857710183E-1,1.136665866E-1,9.901472092E0,9.903866949E0
8.512536450E-1,2.145170271E-1,1.304350346E-1,9.915844917E0,9.919022698E0
8.562907810E-1,2.121215165E-1,9.210705012E-2,9.906263351E0,9.908962248E0
8.613279160E-1,2.169125229E-1,5.857007578E-2,9.899076462E0,9.901625942E0
8.663650000E-1,1.833755225E-1,6.575655192E-2,9.879912376E0,9.881832779E0
8.714020830E-1,2.097260207E-1,6.575655192E-2,9.887099266E0,9.889541993E0
8.764391660E-1,2.193080187E-1,4.659258202E-2,9.903867722E0,9.906405136E0
8.814421870E-1,2.624270320E-1,6.096558645E-2,9.884703636E0,9.888374524E0
8.864792700E-1,2.480540127E-1,6.815206259E-2,9.882308006E0,9.885655620E0
8.915163540E-1,1.929575205E-1,3.701053932E-2,9.920636177E0,9.922581546E0
8.965534890E-1,1.953530163E-1,2.024208568E-2,9.920636177E0,9.922580043E0
9.015905730E-1,2.097260207E-1,4.419707134E-2,9.889494896E0,9.891817208E0
9.066276560E-1,2.312855273E-1,5.138354376E-2,9.860748291E0,9.863594179E0
9.116851040E-1,1.833755225E-1,5.617456511E-2,9.872726440E0,9.874589082E0
9.167222390E-1,1.905620247E-1,6.815206259E-2,9.882308006E0,9.884380108E0
9.217593230E-1,1.953530163E-1,6.336104125E-2,9.906263351E0,9.908391949E0
9.267964060E-1,1.929575205E-1,6.575655192E-2,9.937404633E0,9.939495327E0
9.318334890E-1,2.025395185E-1,9.929358214E-2,9.911054611E0,9.913621184E0
9.368706250E-1,1.809800267E-1,1.232485697E-1,9.870330811E0,9.872759203E0
9.419099480E-1,1.761890203E-1,1.112710759E-1,9.887099266E0,9.889295006E0
9.469470830E-1,2.049350291E-1,8.012955636E-2,9.925427437E0,9.927866282E0
9.519841660E-1,2.049350291E-1,1.016890332E-1,9.906263351E0,9.908904713E0
9.570212500E-1,2.049350291E-1,1.232485697E-1,9.915844917E0,9.918728195E0
9.620583850E-1,2.264945209E-1,7.773404568E-2,9.944591522E0,9.947474197E0
9.670954680E-1,2.193080187E-1,9.450256079E-2,9.882308006E0,9.885192880E0
9.721498430E-1,2.240990251E-1,5.617456511E-2,9.918240547E0,9.920930980E0
9.771869790E-1,2.264945209E-1,8.252506703E-2,9.932613373E0,9.935538162E0
9.822240620E-1,2.408675253E-1,9.689807147E-2,9.915844917E0,9.919243259E0
9.872611450E-1,2.193080187E-1,6.336104125E-2,9.908658981E0,9.911288183E0
9.922982810E-1,2.025395185E-1,8.731608838E-2,9.877516747E0,9.879978919E0
9.973353640E-1,2.408675253E-1,9.210705012E-2,9.927823067E0,9.931171719E0
1.002334895E0,2.169125229E-1,5.857007578E-2,9.884703636E0,9.887256822E0
1.007371979E0,1.977485269E-1,3.221957758E-2,9.891890526E0,9.893919383E0
1.012408958E0,1.881665289E-1,5.138354376E-2,9.920636177E0,9.922553556E0
1.017446041E0,1.953530163E-1,5.138354376E-2,9.875122070E0,9.877187807E0
1.022483073E0,1.953530163E-1,8.252506703E-2,9.858353615E0,9.860634319E0
1.027520156E0,2.001440227E-1,3.701053932E-2,9.899076462E0,9.901168729E0
1.032547864E0,1.953530163E-1,9.450256079E-2,9.925427437E0,9.927799521E0
1.037584895E0,1.785845160E-1,9.450256079E-2,9.906263351E0,9.908323610E0
1.042621927E0,1.977485269E-1,8.971153945E-2,9.908658981E0,9.911038061E0
1.047659010E0,1.953530163E-1,7.773404568E-2,9.899076462E0,9.901309013E0
1.052696041E0,2.049350291E-1,6.575655192E-2,9.891890526E0,9.894231676E0
1.057733125E0,2.145170271E-1,8.012955636E-2,9.853562355E0,9.856222876E0
1.062894166E0,1.690025181E-1,6.815206259E-2,9.896680832E0,9.898358351E0
1.067931198E0,1.761890203E-1,1.232485697E-1,9.899076462E0,9.901411393E0
1.072968229E0,2.073305249E-1,7.533853501E-2,9.865539551E0,9.868005496E0
1.078005312E0,2.073305249E-1,6.575655192E-2,9.911054611E0,9.913441046E0
1.083042343E0,2.240990251E-1,8.012955636E-2,9.918240547E0,9.921095538E0
1.088079375E0,2.696135342E-1,7.294308394E-2,9.896680832E0,9.900621376E0
1.093023281E0,2.240990251E-1,5.617456511E-2,9.858353615E0,9.861060387E0
1.098060312E0,1.953530163E-1,8.971153945E-2,9.855957985E0,9.858302022E0
1.103097343E0,2.408675253E-1,8.971153945E-2,9.920636177E0,9.923965310E0
1.108134427E0,2.001440227E-1,6.815206259E-2,9.889494896E0,9.891754730E0
1.113171458E0,2.336810231E-1,6.096558645E-2,9.860748291E0,9.863705211E0
1.118208489E0,2.121215165E-1,2.742855810E-2,9.891890526E0,9.894202648E0
1.123261198E0,2.240990251E-1,2.982406877E-2,9.903867722E0,9.906447683E0
1.128298281E0,1.977485269E-1,8.971153945E-2,9.891890526E0,9.894273638E0
1.133335312E0,2.049350291E-1,9.450256079E-2,9.918240547E0,9.920807661E0
1.138372395E0,2.169125229E-1,8.971153945E-2,9.944591522E0,9.947361446E0
1.143409427E0,1.785845160E-1,9.210705012E-2,9.935009003E0,9.937040808E0
1.148446510E0,1.881665289E-1,8.492057770E-2,9.889494896E0,9.891649379E0
1.153447552E0,2.121215165E-1,8.731608838E-2,9.882308006E0,9.884969963E0
1.158484583E0,2.145170271E-1,7.054757327E-2,9.908658981E0,9.911231877E0
1.163521666E0,2.121215165E-1,8.252506703E-2,9.848771095E0,9.851400815E0
1.168558698E0,1.977485269E-1,1.088755652E-1,9.882308006E0,9.884885933E0
1.173595729E0,1.761890203E-1,7.773404568E-2,9.920636177E0,9.922505092E0
1.178632812E0,1.977485269E-1,8.971153945E-2,9.894286156E0,9.896668691E0
1.183699948E0,2.073305249E-1,1.136665866E-1,9.903867722E0,9.906689754E0
1.188737031E0,2.097260207E-1,9.450256079E-2,9.903867722E0,9.906538830E0
1.193774062E0,1.905620247E-1,9.689807147E-2,9.932613373E0,9.934913766E0
1.198811145E0,1.785845160E-1,9.210705012E-2,9.882308006E0,9.884350645E0
