"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.319664792E0,9.935455322E0,-2.315622139E1,-9.399071693E0,2.689361281E1
1.324701719E0,1.085053635E1,-2.251183128E1,-9.751210213E0,2.682541309E1
1.329738646E0,1.030675793E1,-2.100745773E1,-1.014886284E1,2.550572399E1
1.334775625E0,7.963959694E0,-1.868142700E1,-1.017760849E1,2.271572326E1
1.339812865E0,6.002045155E0,-1.594576645E1,-9.952431679E0,1.973177412E1
1.344849792E0,4.696497440E0,-1.354547501E1,-9.629038811E0,1.727007150E1
1.349886719E0,3.539471149E0,-1.157876968E1,-8.917575836E0,1.503725115E1
1.354923698E0,2.648345232E0,-1.018219280E1,-8.062382698E0,1.325491597E1
1.359960677E0,1.829084039E0,-9.173686981E0,-7.288636208E0,1.185859600E1
1.364997604E0,8.828614950E-1,-8.469409943E0,-6.601127625E0,1.077428583E1
1.370033646E0,-4.346634448E-1,-8.031033516E0,-5.527943611E0,9.759333595E0
1.375070573E0,-1.639600039E0,-7.700454235E0,-4.373312950E0,9.006172876E0
1.380107552E0,-2.295966864E0,-7.240518093E0,-3.795997143E0,8.491534632E0
1.385144479E0,-2.799021959E0,-6.885984421E0,-4.600885391E0,8.741821993E0
1.390181459E0,-3.481739283E0,-6.723090172E0,-4.720660210E0,8.922280129E0
1.395218386E0,-4.408797741E0,-6.823701382E0,-6.219597459E-1,8.147836031E0
1.400236563E0,-5.879634857E0,-7.645357609E0,2.257431269E0,9.905432598E0
1.405273490E0,-7.525343418E0,-8.814362526E0,2.683830261E0,1.189650054E1
1.410310469E0,-8.988994598E0,-9.815681458E0,1.572318196E0,1.340230618E1
1.415347448E0,-1.001426792E1,-1.083856010E1,-4.231332541E-1,1.476275682E1
1.420384375E0,-1.086227512E1,-1.207224178E1,-1.927507281E0,1.635369459E1
1.425421302E0,-1.169830513E1,-1.305200195E1,-1.846060276E0,1.762421733E1
1.430479375E0,-1.233550739E1,-1.411320782E1,-1.647233725E0,1.881650224E1
1.435516302E0,-1.260140800E1,-1.488934994E1,-1.637651801E0,1.957473189E1
1.440553282E0,-1.274992943E1,-1.544989777E1,-2.325160265E0,2.016597163E1
1.445590209E0,-1.274513817E1,-1.577807999E1,-3.807974815E0,2.063703048E1
1.450627188E0,-1.148031425E1,-1.498517036E1,-4.433200359E0,1.939087960E1
1.455664115E0,-9.082418442E0,-1.331550694E1,-2.612620354E0,1.632846701E1
1.460702552E0,-7.055825233E0,-1.153325462E1,1.562736273E0,1.361039223E1
1.465739479E0,-6.231773376E0,-1.012230492E1,6.351340771E0,1.347722471E1
1.470776459E0,-5.867657185E0,-9.085053444E0,9.762533188E0,1.456964829E1
1.475813386E0,-4.899875164E0,-8.210696220E0,1.148729324E1,1.494597655E1
1.480850313E0,-3.697334290E0,-7.492045879E0,1.150885296E1,1.422162891E1
1.485887292E0,-3.285308361E0,-6.955453873E0,1.017216396E1,1.275321565E1
1.490940313E0,-3.412269831E0,-6.349392414E0,8.049750328E0,1.080540836E1
1.495977240E0,-3.429038286E0,-5.625951290E0,5.951292038E0,8.878485705E0
